,Categorical_Variables
0,tx80106
1,e537161_g1
2,e537162_g1
3,e400000
4,e222821
5,p400500_g2v1
6,p712030
7,p727001_D
8,p400070_g1D
9,p400090_g1D
10,p401100
11,p731813
12,p731901
13,p731905
14,p731110
15,p731951
16,p731955
17,p751001_g1
18,t31035a
19,t400500_g2
20,t269000
21,t731130
22,t731140
23,e22941b
24,e22941c
25,e22941d
26,e22941e
27,e22941f
28,e22941g
29,e22941h
30,e22941i
31,e229410
32,e22282x
33,e537010
34,e537042
35,e537050
36,e537090
37,e537121
38,e537123
39,e537124
40,e537126
41,e537130
42,e537190
43,e762110
44,e22281a
45,e22281b
46,e22281c
47,e22281d
48,e22281e
49,e22281f
50,e22281g
51,e22282b
52,e222822
53,e222823
54,p731118
55,p728000
56,p524100
57,p524101
58,p731702
59,p406000_g1
60,p407050_g1D
61,p407055
62,p725000
63,p727000
64,p728050
65,p261100
66,p731801_g1
67,p731912
68,p731915
69,p731851
70,p731965
71,p413050
72,p410040
73,p410050
74,p414050
75,t291300
76,t34006i
77,t27111s
78,t34006a
79,t34006b
80,t34006c
81,t34006e
82,t34006f
83,t34006g
84,t34006h
85,t74305a
86,t74305b
87,t74305c
88,t74305d
89,t74305e
90,t74305f
91,t74305g
92,t27111a
93,t27111b
94,t27111c
95,t700031
