var,varname,plotname,varsection_orig,Variable_Group,codebook_page,final classification,labels,include as predictor,include as ID,date_merge,aggregate,reverse,reverse_scale_min,reverse_scale_max,pick_one,picked,recode_does_not_apply,recode_as_1,remove_after_manual_inspection,notes,Final Groups
tx80106,Sample: Type of school,,pCourseClass,Baseline,29.0,categorical,Elementary school; Hauptschule (Volksschule); School with multiple courses of; Realschule; Integrated comprehensive school; Gymnasium; Special needs school,1.0,0.0,,,,,,,,,,,,Baseline
e227400_D,Class: number of female students (in %),,pCourseClass,Pedagogical,175.0,continuous,,1.0,0.0,,,,,,,,,,,,Pedagogical
e227400_g1D,"Class: number of students, total (simplified)",,pCourseClass,Pedagogical,179.0,continuous,below 10; 10 to 14; 15 to 19; 20 to 24; 25 to 29; 30 to 34; 35 and more,1.0,0.0,,,,,,,,,,,,Pedagogical
e451000_D,Class: number of students with a migrant background (in %),,pCourseClass,Pedagogical,186.0,continuous,,1.0,0.0,,,,,,,,,,,,Pedagogical
e22941b,"Class: facilities: visualization aids, pin board",,pCourseClass,Pedagogical,200.0,effect code,yes; no,1.0,0.0,,,,,,,,,,,,Pedagogical
e22941c,"Class: facilities: visualization aids, magnetic board",,pCourseClass,Pedagogical,201.0,effect code,yes; no,1.0,0.0,,,,,,,,,,,,Pedagogical
e22941d,"Class: facilities: visualization aids, overhead projector",,pCourseClass,Pedagogical,202.0,effect code,yes; no,1.0,0.0,,,,,,,,,,,,Pedagogical
e22941e,"Visualization aids, beamer",,pCourseClass,Pedagogical,203.0,effect code,yes; no,1.0,0.0,,,,,,,,,,,,Pedagogical
e22941f,"Visualization aids, computer",,pCourseClass,Pedagogical,204.0,effect code,yes; no,1.0,0.0,,,,,,,,,,,,Pedagogical
e22941g,"Visualization aids, map stand",,pCourseClass,Pedagogical,205.0,effect code,yes; no,1.0,0.0,,,,,,,,,,,,Pedagogical
e22941h,"Visualization aids, flip chart",,pCourseClass,Pedagogical,206.0,effect code,yes; no,1.0,0.0,,,,,,,,,,,,Pedagogical
e22941i,"Visualization aids, electronic board",,pCourseClass,Pedagogical,207.0,effect code,yes; no,1.0,0.0,,,,,,,,,,,,Pedagogical
e229410,Class: facilities: storage possibility in the classroom,,pCourseClass,Pedagogical,208.0,effect code,yes; no,1.0,0.0,,,,,,,,,,,,Pedagogical
e22940a,"Class: classroom condition, brightness",,pCourseClass,Pedagogical,209.0,continuous,bad; rather bad; rather good; good,1.0,0.0,,,,,,,,,,,,Pedagogical
e22940b,"Class: classroom condition, size",,pCourseClass,Pedagogical,210.0,continuous,bad; rather bad; rather good; good,1.0,0.0,,,,,,,,,,,,Pedagogical
e22940c,"Class: classroom condition, functionality",,pCourseClass,Pedagogical,211.0,continuous,bad; rather bad; rather good; good,1.0,0.0,,,,,,,,,,,,Pedagogical
e22940d,"Class: classroom condition, structural integrity",,pCourseClass,Pedagogical,212.0,continuous,bad; rather bad; rather good; good,1.0,0.0,,,,,,,,,,,,Pedagogical
e190011_D,Class: number of students with special needs (in %),,pCourseClass,Pedagogical,214.0,continuous,,1.0,0.0,,,,,,,,,,,,Pedagogical
ed1008a,Stress in class - learning ability,,pEducator,Pedagogical,570.0,continuous,not stressful at all; rather not stressful; partly stressful; rather stressful; very stressful,1.0,0.0,,,,,,,,,,,,Pedagogical
ed1008b,Stress in class - methods,,pEducator,Pedagogical,571.0,continuous,not stressful at all; rather not stressful; partly stressful; rather stressful; very stressful,1.0,0.0,,,,,,,,,,,,Pedagogical
ed1008c,Stress in class - studentsí behavior,,pEducator,Pedagogical,572.0,continuous,not stressful at all; rather not stressful; partly stressful; rather stressful; very stressful,1.0,0.0,,,,,,,,,,,,Pedagogical
ed1008d,Stress in class - time pressure,,pEducator,Pedagogical,573.0,continuous,not stressful at all; rather not stressful; partly stressful; rather stressful; very stressful,1.0,0.0,,,,,,,,,,,,Pedagogical
ed1008e,Stress in class - planning,,pEducator,Pedagogical,574.0,continuous,not stressful at all; rather not stressful; partly stressful; rather stressful; very stressful,1.0,0.0,,,,,,,,,,,,Pedagogical
ed1009a,Stress at school - appreciation,,pEducator,Pedagogical,575.0,continuous,does not apply at all; does rather not apply; does rather apply; does completely apply; Not a stress factor,1.0,0.0,,,,,,,,,5.0,,,Pedagogical
e22282x,Teacher: Further education: financial compensation,,pEducator,Pedagogical,587.0,effect code,yes; no,1.0,0.0,,,,,,,,,,,,Pedagogical
e22200a_v1,Teacher: Participation: Meetings and discussions,,pEducator,Pedagogical,618.0,continuous,never; less than once a year; once a year; three to four times a; monthly; weekly,1.0,0.0,,,,,,,,,,,,Pedagogical
e22200b_v1,Teacher: Participation: Development of school curriculum,,pEducator,Pedagogical,619.0,continuous,never; less than once a year; once a year; three to four times a; monthly; weekly,1.0,0.0,,,,,,,,,,,,Pedagogical
e22200c_v1,Teacher: Participation: Discussing teaching media,,pEducator,Pedagogical,620.0,continuous,never; less than once a year; once a year; three to four times a; monthly; weekly,1.0,0.0,,,,,,,,,,,,Pedagogical
e22200d_v1,Teacher: Participation: Exchange of teaching materials,,pEducator,Pedagogical,621.0,continuous,never; less than once a year; once a year; three to four times a; monthly; weekly,1.0,0.0,,,,,,,,,,,,Pedagogical
e22200e_v1,Teacher: Participation: Team discussions,,pEducator,Pedagogical,622.0,continuous,never; less than once a; once a year; three to four times; monthly; weekly,1.0,0.0,,,,,,,,,,,,Pedagogical
