var,varname,plotname,varsection_orig,Variable_Group,codebook_page,final classification,labels,include as predictor,include as ID,date_merge,aggregate,reverse,reverse_scale_min,reverse_scale_max,pick_one,picked,recode_does_not_apply,recode_as_1,remove_after_manual_inspection,notes
tx80106,Sample: Type of school,,pCourseClass,Baseline,29.0,categorical,Elementary school; Hauptschule (Volksschule); School with multiple courses of; Realschule; Integrated comprehensive school; Gymnasium; Special needs school,1.0,0.0,,,,,,,,,,,
e227400_D,Class: number of female students (in %),,pCourseClass,pCourseClass,175.0,continuous,,1.0,0.0,,,,,,,,,,,
e227400_g1D,"Class: number of students, total (simplified)",,pCourseClass,pCourseClass,179.0,continuous,below 10; 10 to 14; 15 to 19; 20 to 24; 25 to 29; 30 to 34; 35 and more,1.0,0.0,,,,,,,,,,,
e451000_D,Class: number of students with a migrant background (in %),,pCourseClass,pCourseClass,186.0,continuous,,1.0,0.0,,,,,,,,,,,
e22941b,"Class: facilities: visualization aids, pin board",,pCourseClass,pCourseClass,200.0,effect code,yes; no,1.0,0.0,,,,,,,,,,,
e22941c,"Class: facilities: visualization aids, magnetic board",,pCourseClass,pCourseClass,201.0,effect code,yes; no,1.0,0.0,,,,,,,,,,,
e22941d,"Class: facilities: visualization aids, overhead projector",,pCourseClass,pCourseClass,202.0,effect code,yes; no,1.0,0.0,,,,,,,,,,,
e22941e,"Visualization aids, beamer",,pCourseClass,pCourseClass,203.0,effect code,yes; no,1.0,0.0,,,,,,,,,,,
e22941f,"Visualization aids, computer",,pCourseClass,pCourseClass,204.0,effect code,yes; no,1.0,0.0,,,,,,,,,,,
e22941g,"Visualization aids, map stand",,pCourseClass,pCourseClass,205.0,effect code,yes; no,1.0,0.0,,,,,,,,,,,
e22941h,"Visualization aids, flip chart",,pCourseClass,pCourseClass,206.0,effect code,yes; no,1.0,0.0,,,,,,,,,,,
e22941i,"Visualization aids, electronic board",,pCourseClass,pCourseClass,207.0,effect code,yes; no,1.0,0.0,,,,,,,,,,,
e229410,Class: facilities: storage possibility in the classroom,,pCourseClass,pCourseClass,208.0,effect code,yes; no,1.0,0.0,,,,,,,,,,,
e22940a,"Class: classroom condition, brightness",,pCourseClass,pCourseClass,209.0,continuous,bad; rather bad; rather good; good,1.0,0.0,,,,,,,,,,,
e22940b,"Class: classroom condition, size",,pCourseClass,pCourseClass,210.0,continuous,bad; rather bad; rather good; good,1.0,0.0,,,,,,,,,,,
