var,varname,plotname,varsection_orig,Variable_Group,codebook_page,final classification,labels,include as predictor,include as ID,date_merge,aggregate,reverse,reverse_scale_min,reverse_scale_max,pick_one,picked,recode_does_not_apply,recode_as_1,remove_after_manual_inspection,notes
tx80501,List of children/students: Gender Target child,,CohortProfile,pTarget,61,effect code,[m] male; [w] female,1,0,,,,,,,,,,,
tx8050y,List of children/students: Date of birth (year) Target child,,CohortProfile,pTarget,63,collapse date_year,,1,0,y,,,,,,,,,1,redundant dob vars
e229821_D,"Work at this school (years, categorized)",,pEducator,pCourseClass,565,continuous,0 to less than 5; 5 to less than 10; 10 to less than 15; 15 to less than 20; 20 to less than 25; 25 to less than 30; 30 to less than 35; 35 and more,1,0,,,,,,,,,,1,multicollinearity
ed1009b,Stress at school - opportunities for advancement,,pEducator,pCourseClass,576,continuous,does not apply at all; does rather not apply; does rather apply; does completely apply; Not a stress factor,1,0,,,,,,,,,5,1,multicollinearity - create new variable eacher_stress_factors_avg
ed1009c,Stress at school - competition,,pEducator,pCourseClass,577,continuous,does not apply at all; does rather not apply; does rather apply; does completely apply; Not a stress factor,1,0,,,,,,,,,5,1,multicollinearity - create new variable eacher_stress_factors_avg
e537030_D,Federal state higher education entrance qualification (West/East),,pEducator,pCourseClass,690,categorical,West Germany; East Germany incl. Berlin; not in Germany,1,0,,,,,,,,,,1,multicollinearity - used in the creation of teacher_changed_state
e53710y_D,Year Study start Teaching degree course (categorized),,pEducator,pCourseClass,739,continuous,before 1970; 1970-1979; 1980-1989; 1990-1999; after 1999,1,0,,,,,,,,,,1,multicollinearity
e537110_g1,Place of study Teaching degree course (West/East),,pEducator,pCourseClass,740,categorical,West Germany; East Germany incl. Berlin; changing locations,1,0,,,,,,,,,,1,multicollinearity - used in creation of teacher_changed_state
e537122,Activity before teaching degree course - military/civil service,,pEducator,pCourseClass,748,effect code,yes; no,1,0,,,,,,,,,,1,multicollinearity
e537150_D,Year of state examination (categorized),,pEducator,pCourseClass,765,continuous,before 1970; 1970-1979; 1980-1989; 1990-1999; after 1999,1,0,,,,,,,,,,1,multicollinearity
e537170_g1,Location: passed the state examination (West/East),,pEducator,pCourseClass,780,categorical,West Germany; East Germany incl. Berlin; changing locations,1,0,,,,,,,,,,1,multicollinearity - used in creation of teacher_changed_state
e537200_D,Federal state second state examination (West/East),,pEducator,pCourseClass,792,categorical,West Germany; East Germany incl. Berlin; not in Germany,1,0,,,,,,,,,,1,multicollinearity - used in creation of teacher_changed_state
p400000,Respondent born in Germany?,,pParent,pParent,2354,categorical,in Germany /within the current; in Germanyís former Eastern territories; abroad /in another country,1,0,,,,,,,,,,1,multicollinearity - drop (manual decision)
p400000_g1,Country of birth Respondent (Germany/abroad; edited),,pParent,pParent,2355,categorical,in Germany /within the current; in Germanyís former Eastern territories; abroad /in another country,1,0,,,,,,,,,,1,multicollinearity - drop (manual decision)
p401110,Citizenship Respondent German since birth,,pParent,pParent,2362,effect code,yes; no; Question erroneously not asked,1,0,,,,,,,,,,1,multicollinearity - drop (manual decision)
p731116,Gender Partner,,pParent,pParent,2453,effect code,[m] male; [w] female,1,0,,,,,,,,,,1,removed later due to high multicollinearity with parent respondants' gender
p403000,Country of birth Partner (Germany/abroad),,pParent,pParent,2461,categorical,in Germany /within the current; in Germanyís former Eastern territories; abroad /in another country,1,0,,,,,,,,,,1,multicollinearity - manual decision
p403000_g1,Country of birth Partner (Germany/abroad; edited),,pParent,pParent,2465,categorical,in Germany /within the current; in Germanyís former Eastern territories; abroad /in another country,1,0,,,,,,,,,,1,multicollinearity - manual decision
p404000,German citizenship Partner,,pParent,pParent,2479,effect code,"yes/yes, in the meantime he/she; no",1,0,,,,,,,,,,1,multicollinearity - manual decision
p404010,German citizenship Partner since birth,,pParent,pParent,2480,effect code,yes; no,1,0,,,,,,,,,,1,multicollinearity - manual decision
p413040,Ability to speak German Interviewed Parent (auto variable),,pParent,pParent,2576,effect code,yes; no,1,0,,,,,,,,,,1,multicollinearity - drop manual decision
t41010a_g2D,"Mother: Mother tongue (reference 1, simplified)",,pTarget,pTarget,4422,effect code,German; not German,0,0,,,,,,,,,,1,use generated variable (t41010a_g1)
t41012a_g2D,"Father: Mother tongue (Specification 1, simplified)",,pTarget,pTarget,4435,effect code,German; not German,0,0,,,,,,,,,,1,use generated variable (t41012a_g1) - multicollinearity
t41040a,Subjective linguistic competence Target language of origin - comprehension,,pTarget,pTarget,4733,continuous,very well; rather well; rather badly; very badly; not at all,1,0,,,,,,,,,,1,multicollinearity - used in command_of_other_lang
t41040b,Subjective linguistic competence Target language of origin - speaking,,pTarget,pTarget,4734,continuous,very well; rather well; rather badly; very badly; not at all,1,0,,,,,,,,,,1,multicollinearity - used in command_of_other_lang
t417030,Language of media use Target ñ Surfing the Internet,,pTarget,pTarget,4743,continuous,"only in German;
mostly in German, sometimes in the other language;
mostly in the other language, some‐ times in German;
only in the other language; doesnotapplytome;
usesmostly/onlyathirdlanguage;
equally often German and language of origin",1,0,,,,,,,,5,,1,multicollinearity - used in lang_of_media
t417040,Language of media use Target ñ SMS and e-mails,,pTarget,pTarget,4745,continuous,"only in German;
mostly in German, sometimes in the other language;
mostly in the other language, some‐ times in German; only in the other; does not apply to; doesnít write SMS or emails; uses mostly/only a third language; equally often German and other language",1,0,,,,,,,,5,,1,multicollinearity - used in lang_of_media
t412010,Interaction language - Mother,,pTarget,pTarget,4748,continuous,"only German;
mostly German, sometimes the other language;
mostly the other language, some‐ times German; only the other language; does not apply to me; does not apply/no contact; does not apply/mother deceased; uses mostly/only a third language; equally often German and language or origin",1,0,,,,,,,,5,,1,multcollinearity - used in creation of family_lang
t412020,Interaction language - Father,,pTarget,pTarget,4749,continuous,"only German;
mostly German, sometimes the other language; only the other language; does not apply to; does not apply/no contact; does not apply/father deceased; uses mostly/only a third; equally often German and language of origin",1,0,,,,,,,,5,,1,multcollinearity - used in creation of family_lang
t412030,Interaction language - Siblings,,pTarget,pTarget,4750,continuous,"only German;
mostly German, sometimes the other language;
mostly the other language, some‐ times German; only the other language; does not apply to me; no siblngs; uses mostly/only a third language; equally often German and language",1,0,,,,,,,,5,,1,multicollinearity with family_lang
t412060,Interaction language - Parents,,pTarget,pTarget,4751,continuous,"only German;
mostly German, sometimes the other language;
mostly the other language, some‐ times German; only the other language; does not apply to me; does not apply/no contact; does not apply/parents deceased; uses mostly/only a third language; equally often German and language",1,0,,,,,,,,5,,1,multcollinearity - used in creation of family_lang
t412040,Interaction language - best friend,,pTarget,pTarget,4753,continuous,"only German;
mostly German, sometimes the other language;
mostly the other language, some‐ times German; only the other language; does not apply to; uses mostly/only a third; no best friend; equally often German and language of origin",1,0,,,,,,,,5,,1,multcollinearity - used in creation of lang_of_friends
t412050,Use of language - classmates/fellow students,,pTarget,pTarget,4754,continuous,"only German;
mostly German, sometimes the other language;
mostly the other language, some‐ times German; only the other language; does not apply to me; uses mostly/only a third language; no classmates/ fellow students; equally often German and language of origin",1,0,,,,,,,,5,,1,multcollinearity - used in creation of lang_of_friends
t262000_g1,Sports: type of sport,,pTarget,pTarget,5090,categorical,aerobics; agility; aikido; air hockey; airsoft; akontion; acrobatics; alpine climbing; amateur radio direction finding (ARDF); American football; American handball; fishing; wushu; Waveboarding; yoga; decathlon; Zumba,1,0,,,,,,,,,,1,too many categories and not particularly relevant
t400280_g1D,Fatherís father: Country of birth (Germany/abroad),,pTarget,pTarget,5871,categorical,"Germany; not Germany; Ausland, aber nicht codierbar; Germany and another country,",1,0,,,,,,,,,,1,multicollinearity - manual decision
t400260_g1D,Fatherís mother: country of birth (Germany/abroad),,pTarget,pTarget,5876,categorical,"Germany; not Germany; Ausland, aber nicht codierbar; Germany and another country,",1,0,,,,,,,,,,1,multicollinearity - manual decision
t400240_g1D,Motherís father: Country of birth (Germany/abroad),,pTarget,pTarget,5881,categorical,"Germany; not Germany; Ausland, aber nicht codierbar; Germany and another country, not",1,0,,,,,,,,,,1,multicollinearity - manual decision
t400220_g1D,Motherís mother: country of birth (Germany/abroad),,pTarget,pTarget,5886,categorical,"Germany; not Germany; Ausland, aber nicht codierbar; Germany and another country, not",1,0,,,,,,,,,,1,multicollinearity - manual decision
t400090_g1D,Father: Country of birth (Germany/abroad),,pTarget,pTarget,5891,categorical,"Germany; not Germany; Ausland, aber nicht codierbar; Germany and another country, not",1,0,,,,,,,,,,1,multicollinearity - manual decision
t400070_g1D,Mother: Country of birth (Germany/abroad),,pTarget,pTarget,5896,categorical,"Germany; not Germany; Ausland, aber nicht codierbar; Germany and another country, not",1,0,,,,,,,,,,1,multicollinearity - manual decision
t70004m,Date of birth - month,,pTarget,pTarget,5131,collapse date_month,January; February; March; April; May; June; July; August; September; October; November; December,1,0,y,,,,,,,,,1,removed later due to being redundant
t70004y,Date of birth - year,,pTarget,pTarget,5132,collapse date_year,,1,0,y,,,,,,,,,1,removed later due to being redundant
teacher_predominant_state,place of (predominant) teacher education,,created,pCourseClass,,,,,,,,,,,,,,,1,highly correlated with students state of residence
ID_t,ID target,,Biography,Biography,4,ID_categorical,,0,1,,,,,,,,,,,
wave,Wave,,Biography,Biography,7,ID_categorical,Fall/Winter2010 / Spring2011; Fall/Winter2011 / Spring2012; Fall/Winter2012 / Spring2013; Fall/Winter2013 / Spring2014; Fall/Winter2014; Spring 2015; Fall2015 / Spring2016; Fall/Winter2016; Fall/Winter2017; Fall/Winter2018; Fall/Winter2019,0,0,,,,,,,,,,,
cohort,NEPS Starting Cohort,,CohortProfile,pTarget,21,continuous,Newborns (SC1); Kindergarten (SC2); Grade 5 (SC3); Grade 9 (SC4); First-year students (SC5); Adults (SC6); Reform in Thuringia (TH); G8/G9 reform in Baden-Wuerttemberg (BW),1,0,,,,,,,,,,,
ID_cc,Course-ID: Grade,,CohortProfile,,22,ID_categorical,,0,1,,,,,,,,,,,
ID_cg,Course-ID: German,,CohortProfile,,23,ID_categorical,,0,1,,,,,,,,,,,
ID_cm,Course-ID: Mathematics,,CohortProfile,,24,ID_categorical,,0,1,,,,,,,,,,,
ID_tg_w1,Test day 1: test groups-ID,,CohortProfile,,25,ID_categorical,,0,1,,,,,,,,,,,
ID_i,Institution ID,,CohortProfile,,27,ID_categorical,,0,1,,,,,,,,,,,
sample,Sampling in wave..,,CohortProfile,,28,categorical,Fall/Winter2010 / Spring2011; Fall/Winter2011 / Spring2012; Fall/Winter2012 / Spring2013; Fall/Winter2013 / Spring2014; Fall/Winter2014; Spring 2015; Fall2015 / Spring2016; Fall/Winter2016; Fall/Winter2017; Fall/Winter2018; Fall/Winter2019,0,0,,,,,,,,,,,
tx80106,Sample: Type of school,,pCourseClass,Baseline,29,categorical,Elementary school; Hauptschule (Volksschule); School with multiple courses of; Realschule; Integrated comprehensive school; Gymnasium; Special needs school,1,0,,,,,,,,,,,
tx80107,Sample: First participation in wave,,CohortProfile,,30,categorical,Fall/Winter2010 / Spring2011; Fall/Winter2011 / Spring2012; Fall/Winter2012 / Spring2013; Fall/Winter2013 / Spring2014; Fall/Winter2014; Spring 2015; Fall2015 / Spring2016; Fall/Winter2016; Fall/Winter2017; Fall/Winter2018; Fall/Winter2019,0,0,,,,,,,,,,,
tx80109_g1,Sample: Federal state school (west/east),,CohortProfile,,31,effect code,West Germany; East Germany incl. Berlin,0,0,,,,,,,,,,,
tx80220,Participation/drop-out status,,CohortProfile,,37,categorical,Participation; Temporary drop-out; Final drop-out,0,0,,,,,,,,,,,
tx80230,Panel Frame,,CohortProfile,pTarget,38,categorical,NEPS Sample school; Individual follow-up; Outside of the general education school system; ,1,0,,,,,,,,,,,
tx80234,Main field: Grade,,CohortProfile,pTarget,41,continuous,,1,0,,,,,,,,,,,
tx80521,Data available: survey target person,,CohortProfile,,43,effect code,no; yes,0,0,,,,,,,,,,,
tx8600m,Survey Target person: survey month 1,,CohortProfile,pTarget,44,collapse date_month,,1,0,y,,,,,,,,,,assume this is actually tx8601m
tx8600y,Survey Target person: survey month 1,,CohortProfile,pTarget,45,collapse date_year,,1,0,y,,,,,,,,,,assume this is actually tx8601y
tx8602m,Survey Target person: Survey month 2,,CohortProfile,pTarget,46,collapse date_month,January; February; March; April; May; June; July; August; September; October; November; December,1,0,y,,,,,,,,,,
tx8602y,Survey Target person: Survey year 2,,CohortProfile,pTarget,47,collapse date_year,,1,0,y,,,,,,,,,,
tx80522,Data available: competence test target person,,CohortProfile,,48,effect code,no; yes; Data not approved,0,0,,,,,,,,,,,
tx8610m,Competence testing Target person: survey month 1,,CohortProfile,pTarget,50,collapse date_month,January; February; March; April; May; June; July; August; September; October; November; December,1,0,y,,,,,,,,,,
tx8610y,Competence testing Target person: survey year 1,,CohortProfile,pTarget,51,collapse date_year,,1,0,y,,,,,,,,,,
tx8611m,Competence testing Target person: survey month 2,,CohortProfile,pTarget,52,collapse date_month,January; February; March; April; May; June; July; August; September; October; November; December,1,0,y,,,,,,,,,,
tx8611y,Competence testing Target person: survey year 2,,CohortProfile,pTarget,53,collapse date_year,,1,0,y,,,,,,,,,,
tx80523,Data available: parent survey,,CohortProfile,,54,effect code,no; yes,0,0,,,,,,,,,,,
tx8620m,Parent survey: survey month,,CohortProfile,pParent,55,collapse date_month,January; February; March; April; May; June; July; August; September; October; November; December,1,0,y,,,,,,,,,,
tx8620y,Parent survey: survey year,,CohortProfile,pParent,56,collapse date_year,,1,0,y,,,,,,,,,,
tx80524,Data available: institution,,CohortProfile,pCourseClass,57,effect code,no; yes,0,0,,,,,,,,,,,
tx80525,Data available: Class course,,CohortProfile,pCourseClass,58,effect code,no; yes,0,0,,,,,,,,,,,
tx80526,Data available: German course,,CohortProfile,pCourseClass,59,effect code,no; yes,0,0,,,,,,,,,,,
tx8050m,List of children/students: Date of birth (month) Target child,,CohortProfile,pTarget,62,collapse date_month,January; February; March; April; May; June; July; August; September; October; November; December,1,0,y,,,,,,,,,,
tx80504,List of children/students: Migrant background Target child,,CohortProfile,pTarget,64,effect code,Russian; Turkish,1,0,,,,,,,,,,,
t723080_g1,Current type of school (constructed),,CohortProfile,,68,categorical,"Elementary school Orientation stage;
Hauptschule [lower secondary school];
Realschule [intermediate secondary school];
School with multiple educational programs: No separation in school branches (yet);
School with multiple educational programs: School branch of the Hauptschule;
School with multiple educational pro‐ grams: School branch of the Re‐ alschule;
School with multiple educational pro‐ grams: Unclear;
Gymnasium [upper secondary school]; Special needs school;
Comprehensive school: no separation of school branches (yet)",0,0,,,,,,,,,,,
ex20100,Data line recommended for linkage,,pCourseClass,,128,effect code,no; yes,0,0,,,,,,,,,,,
ID_e,ID teacher/educator,,pCourseClass,,124,ID_categorical,,0,1,,,,,,,,,,,
e451010,Class: number of students with a migrant background (approximately),,pCourseClass,pCourseClass,134,continuous,none; almost none; less than half; about half; more than half; almost all; all,1,0,,,,,,,,,,,
e79201a_D,Student: lower social class (in %),,pCourseClass,pCourseClass,135,continuous,,1,0,,,,,,,,,,,
e79201b_D,Student: middle social class (in %),,pCourseClass,pCourseClass,139,continuous,,1,0,,,,,,,,,,,
e79201c_D,Student: Higher social class (in %),,pCourseClass,pCourseClass,143,continuous,,1,0,,,,,,,,,,,
e79202a_D,Students with at least one parent with a higher education degree (in %),,pCourseClass,pCourseClass,147,continuous,,1,0,,,,,,,,,,,
