,Var1,Var1 name,Var2,Var2 name,Corr
0,p400000,Respondent born in Germany?,p400000_g1,Country of birth Respondent (Germany/abroad; edited),1.0
1,p731801,Highest educational qualification Respondent in Germany,p731801_g1,Highest educational qualification Respondent in Germany (edited),1.0
2,tx8610,created,dob_in_days_at_Target_survey,DOB (days),1.0
3,e537110_g1,Place of study Teaching degree course (West/East),e537170_g1,Location: passed the state examination (West/East),1.0
4,p400500_g2v1,Missing/contradicting imformation about country of birth for generation status,p400500_g2,Missing/contradicting imformation about country of birth for generation status,1.0
5,p406000,Target child born in Germany?,p406000_g1,Country of birth of target child (Germany/abroad; edited),1.0
6,t400500_g2v1,Missing/contradicting imformation about country of birth for generation status,t400500_g2,v1 Missing/contradicting imformation about country of birth for generation status,1.0
7,e227400_D,Class: number of female students (in %),e227401_D,Class: number of male students (in %),0.9999543093772184
8,tx8620,created,dob_in_days_at_Target_survey,DOB (days),0.9901324313104108
9,tx8610,created,tx8620,created,0.9897400806535708
10,p700010,Gender Target child,t700031,Gender,0.9862744897784564
11,tx80501,List of children/students: Gender Target child,p700010,Gender Target child,0.9820091569747413
12,tx80501,List of children/students: Gender Target child,t700031,Gender,0.9807712485931696
13,e537030_D,Federal state higher education entrance qualification (West/East),e537110_g1,Place of study Teaching degree course (West/East),0.978587413581741
14,e537030_D,Federal state higher education entrance qualification (West/East),e537170_g1,Location: passed the state examination (West/East),0.9775686439484955
15,org5_sc1a,Orthography (set 1): WLE (corrected),org5_sc1b,Orthography (set 2): WLE (corrected),0.9596722412216657
16,e53702y_D,Year of university entrance qualification (categorized),e76212y_D,Year of birth (categorized),0.9555866529737512
17,e53710y_D,Year Study start Teaching degree course (categorized),e53702y_D,Year of university entrance qualification (categorized),0.9334250442907737
18,e53710y_D,Year Study start Teaching degree course (categorized),e76212y_D,Year of birth (categorized),0.9183898703731672
19,e537150_D,Year of state examination (categorized),e229820_D,"Work in profession (years, categorized)",0.9026587892421881
20,e53710y_D,Year Study start Teaching degree course (categorized),e537150_D,Year of state examination (categorized),0.893483430449282
21,p725000,Held back/repeated grade,t725020,School year repeated,0.8900247456294683
22,e53710y_D,Year Study start Teaching degree course (categorized),e229820_D,"Work in profession (years, categorized)",0.8896637572321497
23,e537150_D,Year of state examination (categorized),e76212y_D,Year of birth (categorized),0.8856534409696886
24,e537150_D,Year of state examination (categorized),e53702y_D,Year of university entrance qualification (categorized),0.8783029045773497
