,index,var,varname,plotname,varsection_orig,Variable_Group,codebook_page,final classification,labels,include as predictor,include as ID,date_merge,aggregate,reverse,reverse_scale_min,reverse_scale_max,pick_one,picked,recode_does_not_apply,recode_as_1,remove_after_manual_inspection,notes
0,0,tx80501,List of children/students: Gender Target child,,CohortProfile,pTarget,61.0,effect code,[m] male; [w] female,1.0,0.0,,,,,,,,,,,
1,87,e227401_D,Class: number of male students (in %),,pCourseClass,pCourseClass,182.0,continuous,,1.0,0.0,,,,,,,,,,,
2,110,e229820_D,"Work in profession (years, categorized)",,pEducator,pCourseClass,564.0,continuous,0 to less than 5; 5 to less than 10; 10 to less than 15; 15 to less than 20; 20 to less than 25; 25 to less than 30; 30 to less than 35; 35 and more,1.0,0.0,,,,,,,,,,,
3,182,e536020_D,Age Career choice (categorized),,pEducator,pCourseClass,671.0,continuous,,1.0,0.0,,,,,,,,,,,
4,225,e537125,Activity before teaching degree course - vocational training completed,,pEducator,pCourseClass,751.0,effect code,yes; no,1.0,0.0,,,,,,,,,,,
5,227,e537127,Activity before teaching degree course - another training program completed,,pEducator,pCourseClass,753.0,effect code,yes; no,1.0,0.0,,,,,,,,,,,
6,277,p414000_g1D,First language/mother tongue Partner (German/not German),,pParent,pParent,1939.0,effect code,German; not German,1.0,0.0,,,,,,,,,,,
7,297,p700010,Gender Target child,,pParent,pParent,2158.0,effect code,Boy; Girl,1.0,0.0,,,,,,,,,,,
8,308,p400500_g2,Missing/contradicting imformation about country of birth for generation status,,pParent,pParent,1906.0,categorical,Unique assignment possible; Information for target person unknown; Information for one parent unknown; Information for both parents unknown; Information for one grandparent unknown; Information for two grandparents unknown; Information for three grandparents unknown; Information for four grandparents unknown; no assignment to a generation,1.0,0.0,,,,,,,,,,,
9,330,p724101,Grade Annual report card German,,pParent,pParent,2234.0,continuous,very good; good; satisfactory; sufficient; inadequate; unsatisfactory; no grade provided,1.0,0.0,,,,,,,,,,,
10,372,p731801_g1,Highest educational qualification Respondent in Germany (edited),,pParent,pParent,2374.0,effect code,"yes; no; no school-leaving qualification; Germany and another country, not",1.0,0.0,,,,,,,,,,,
11,391,p731902,Working hours Respondent,,pParent,pParent,2403.0,continuous,,1.0,0.0,,,,,,,,,,,
12,423,p731117,Relationship Partner to target child,,pParent,pParent,2458.0,categorical,biological mother; biological father; adoptive mother; adoptive father; foster mother; foster father; partner of father/mother; partner of mother/father; stepmother; stepfather; other relationship,1.0,0.0,,,,,,,,,,,
13,433,p731851_g1,Highest educational qualification Partner in Germany (edited),,pParent,pParent,2490.0,effect code,"yes; no; no school-leaving qualification; Germany and another country, not",1.0,0.0,,,,,,,,,,,
14,485,p414040,German language Partner (auto variable),,pParent,pParent,2597.0,effect code,yes; no,1.0,0.0,,,,,,,,,,,
15,555,t31135a,Realistic educational aspiration - highest school-leaving qualification,,pTarget,pTarget,4154.0,categorical,Hauptschulabschluss; Realschulabschluss/Mittlere Reife; Abitur; Leave school without qualification,1.0,0.0,,,,,,,,,,,
16,628,t725020,School year repeated,,pTarget,pTarget,4414.0,effect code,no; yes,1.0,0.0,,,,,,,,,,,
17,676,t400500_g2v1,Missing/contradicting imformation about country of birth for generation status,,pTarget,pTarget,5864.0,categorical,Unique assignment possible; Information for target person unknown; Information for one parent unknown; Information for both parents unknown; Information for one grandparent unknown; Information for two grandparents unknown; Information for three grandparents unknown; Information for four grandparents unknown; no assignment to a generation,1.0,0.0,,,,,,,,,,,
18,678,t400000_g1D,Country of birth (Germany/abroad),,pTarget,pTarget,5901.0,categorical,"Germany; not Germany; Ausland, aber nicht codierbar; Germany and another country,",1.0,0.0,,,,,,,,,,,
19,761,org5_sc1a,Orthography (set 1): WLE (corrected),,xTargetCompetencies,xTargetCompetencies,9203.0,continuous,,1.0,0.0,,,,,,,,,,,
20,766,mpg5or02_sc6,Procedural metacognition (orthography set 2): proportion correct,,xTargetCompetencies,xTargetCompetencies,9056.0,continuous,,1.0,0.0,,,,,,,,,,,
