Variable 1,Var1 name,Variable 2,Var2 name,Mutual Information
p71203,created,dob_in_days_at_Target_survey,DOB (days),1.936050408468243
dob_in_days_at_Target_survey,DOB (days),p71203,created,1.936050408468243
e227400_D,Class: number of female students (in %),e451000_D,Class: number of students with a migrant background (in %),1.8657161477705846
e451000_D,Class: number of students with a migrant background (in %),e227400_D,Class: number of female students (in %),1.8657161477705846
p71202,created,p71203,created,1.2931410685502165
p71203,created,p71202,created,1.2931410685502165
e451000_D,Class: number of students with a migrant background (in %),ed1010,created,1.2904359219446837
ed1010,created,e451000_D,Class: number of students with a migrant background (in %),1.2904359219446837
e451000_D,Class: number of students with a migrant background (in %),e537180,Grade First state examination,1.241122441804806
e537180,Grade First state examination,e451000_D,Class: number of students with a migrant background (in %),1.241122441804806
e227400_D,Class: number of female students (in %),ed1010,created,1.2373512760585061
ed1010,created,e227400_D,Class: number of female students (in %),1.2373512760585061
p400500_g1v1,Generation status,p400500_g1,Generation status,1.221792828749778
p400500_g1,Generation status,p400500_g1v1,Generation status,1.221792828749778
e227400_D,Class: number of female students (in %),e537180,Grade First state examination,1.2062254682494462
e537180,Grade First state examination,e227400_D,Class: number of female students (in %),1.2062254682494462
e451000_D,Class: number of students with a migrant background (in %),e537162_g1,Subject combination (2nd subject; study area),1.1773214123380367
e537162_g1,Subject combination (2nd subject; study area),e451000_D,Class: number of students with a migrant background (in %),1.1773214123380367
e451000_D,Class: number of students with a migrant background (in %),ed1011_neg,created,1.1435362630231474
ed1011_neg,created,e451000_D,Class: number of students with a migrant background (in %),1.1435362630231474
e227400_D,Class: number of female students (in %),e537162_g1,Subject combination (2nd subject; study area),1.1435122984544375
e537162_g1,Subject combination (2nd subject; study area),e227400_D,Class: number of female students (in %),1.1435122984544375
e227400_D,Class: number of female students (in %),ed1011_neg,created,1.1355012779165765
ed1011_neg,created,e227400_D,Class: number of female students (in %),1.1355012779165765
p71202,created,dob_in_days_at_Target_survey,DOB (days),1.103820001092524
dob_in_days_at_Target_survey,DOB (days),p71202,created,1.103820001092524
e227400_D,Class: number of female students (in %),e22282a,Teacher: further education: days of participation,1.0758739614080186
e22282a,Teacher: further education: days of participation,e227400_D,Class: number of female students (in %),1.0758739614080186
e451000_D,Class: number of students with a migrant background (in %),e537161_g1,Subject combination (1st subject; study area),1.07052762484037
e537161_g1,Subject combination (1st subject; study area),e451000_D,Class: number of students with a migrant background (in %),1.07052762484037
e451000_D,Class: number of students with a migrant background (in %),e22282a,Teacher: further education: days of participation,1.0521359375622898
e22282a,Teacher: further education: days of participation,e451000_D,Class: number of students with a migrant background (in %),1.0521359375622898
e537161_g1,Subject combination (1st subject; study area),e537162_g1,Subject combination (2nd subject; study area),1.0277500249991478
e537162_g1,Subject combination (2nd subject; study area),e537161_g1,Subject combination (1st subject; study area),1.0277500249991478
t400500_g1v1,Generation status,t400500_g1,v1 Generation status,1.01907998078297
t400500_g1,v1 Generation status,t400500_g1v1,Generation status,1.01907998078297
e227400_D,Class: number of female students (in %),e537161_g1,Subject combination (1st subject; study area),1.0097469517787383
e537161_g1,Subject combination (1st subject; study area),e227400_D,Class: number of female students (in %),1.0097469517787383
e227400_g1D,"Class: number of students, total (simplified)",e451000_D,Class: number of students with a migrant background (in %),0.9796861217448622
e451000_D,Class: number of students with a migrant background (in %),e227400_g1D,"Class: number of students, total (simplified)",0.9796861217448622
e227400_D,Class: number of female students (in %),e227400_g1D,"Class: number of students, total (simplified)",0.949260366984551
e227400_g1D,"Class: number of students, total (simplified)",e227400_D,Class: number of female students (in %),0.949260366984551
ed1011_pos,created,ed1011_neg,created,0.9357316503467743
ed1011_neg,created,ed1011_pos,created,0.9357316503467743
p731802_g3,Highest educational qualification Respondent (education years = fCASMIN),p731813,(Highest) professional qualification Respondent,0.9263463964899321
p731813,(Highest) professional qualification Respondent,p731802_g3,Highest educational qualification Respondent (education years = fCASMIN),0.9263463964899321
e227400_D,Class: number of female students (in %),e190011_D,Class: number of students with special needs (in %),0.9163678610041295
e190011_D,Class: number of students with special needs (in %),e227400_D,Class: number of female students (in %),0.9163678610041295
ed1011_neg,created,ed1010,created,0.8931488281175293
ed1010,created,ed1011_neg,created,0.8931488281175293
e451000_D,Class: number of students with a migrant background (in %),ed1011_pos,created,0.8872506078266911
ed1011_pos,created,e451000_D,Class: number of students with a migrant background (in %),0.8872506078266911
e537162_g1,Subject combination (2nd subject; study area),e537180,Grade First state examination,0.8851029022442187
e537180,Grade First state examination,e537162_g1,Subject combination (2nd subject; study area),0.8851029022442187
e227400_D,Class: number of female students (in %),ed1011_pos,created,0.8744044751857967
ed1011_pos,created,e227400_D,Class: number of female students (in %),0.8744044751857967
e537162_g1,Subject combination (2nd subject; study area),ed1010,created,0.8603118592285526
ed1010,created,e537162_g1,Subject combination (2nd subject; study area),0.8603118592285526
e451000_D,Class: number of students with a migrant background (in %),e190011_D,Class: number of students with special needs (in %),0.8467286697132828
e190011_D,Class: number of students with special needs (in %),e451000_D,Class: number of students with a migrant background (in %),0.8467286697132828
e537180,Grade First state examination,ed1010,created,0.8426120435878302
ed1010,created,e537180,Grade First state examination,0.8426120435878302
p34001a_g1,"Frequency reading - free time, working day (summarized)",p34001c_g1,"Frequency reading - free time, non-working day (summarized)",0.8301602962590726
p34001c_g1,"Frequency reading - free time, non-working day (summarized)",p34001a_g1,"Frequency reading - free time, working day (summarized)",0.8301602962590726
p741001,Size of household,p742001,Persons under the age of 14 in the household,0.8298063021823348
p742001,Persons under the age of 14 in the household,p741001,Size of household,0.8298063021823348
e227400_D,Class: number of female students (in %),e22200k_v1,Teacher: Participation: Discussing homework practice,0.8124002190318338
e22200k_v1,Teacher: Participation: Discussing homework practice,e227400_D,Class: number of female students (in %),0.8124002190318338
e227400_D,Class: number of female students (in %),e22200e_v1,Teacher: Participation: Team discussions,0.8119226241728859
e22200e_v1,Teacher: Participation: Team discussions,e227400_D,Class: number of female students (in %),0.8119226241728859
e451000_D,Class: number of students with a migrant background (in %),e22200k_v1,Teacher: Participation: Discussing homework practice,0.8089734987246713
e22200k_v1,Teacher: Participation: Discussing homework practice,e451000_D,Class: number of students with a migrant background (in %),0.8089734987246713
e22282a,Teacher: further education: days of participation,ed1010,created,0.7996020396928687
